Name,year,population
Uttar Pradesh,1951,60274800
Uttar Pradesh,1961,70144160
Uttar Pradesh,1971,83849775
Uttar Pradesh,1981,105113300
Uttar Pradesh,1991,132062800
Uttar Pradesh,2001,166053600
Uttar Pradesh,2011,199581477
Maharashtra,1951,32002500
Maharashtra,1961,39554900
Maharashtra,1971,50412240
Maharashtra,1981,62782820
Maharashtra,1991,78937190
Maharashtra,2001,96752500
Maharashtra,2011,112372972
Bihar,1951,29085900
Bihar,1961,34841490
Bihar,1971,42126800
Bihar,1981,52303000
Bihar,1991,64531200
Bihar,2001,82879910
Bihar,2011,103804630
West Bengal,1951,26300670
West Bengal,1961,34926000
West Bengal,1971,44312017
West Bengal,1981,54580650
West Bengal,1991,68077970
West Bengal,2001,80221300
West Bengal,2011,91347736
Madhya Pradesh,1951,18615700
Madhya Pradesh,1961,23218950
Madhya Pradesh,1971,30017180
Madhya Pradesh,1981,38169500
Madhya Pradesh,1991,48566800
Madhya Pradesh,2001,60385090
Madhya Pradesh,2011,72597565
Tamil Nadu,1951,30119680
Tamil Nadu,1961,33687100
Tamil Nadu,1971,41199170
Tamil Nadu,1981,48408080
Tamil Nadu,1991,55859300
Tamil Nadu,2001,62111390
Tamil Nadu,2011,72138958
Rajasthan,1951,15971130
Rajasthan,1961,20156540
Rajasthan,1971,25765810
Rajasthan,1981,34361860
Rajasthan,1991,44005990
Rajasthan,2001,56473300
Rajasthan,2011,68621012
Karnataka,1951,19402500
Karnataka,1961,23587910
Karnataka,1971,29299015
Karnataka,1981,37135710
Karnataka,1991,44977200
Karnataka,2001,52734986
Karnataka,2011,61130704
Gujarat,1951,16263700
Gujarat,1961,20633305
Gujarat,1971,26697488
Gujarat,1981,34085800
Gujarat,1991,41309580
Gujarat,2001,50597200
Gujarat,2011,60383628
Andhra Pradesh,1951,31115000
Andhra Pradesh,1961,35983480
Andhra Pradesh,1971,43502710
Andhra Pradesh,1981,53551030
Andhra Pradesh,1991,66508170
Andhra Pradesh,2001,75728400
Andhra Pradesh,2011,84580777
Odisha,1951,14646100
Odisha,1961,17549500
Odisha,1971,21944625
Odisha,1981,26370270
Odisha,1991,31659740
Odisha,2001,36707900
Odisha,2011,41947358
Telangana,2011,35193978
Kerala,1951,13549000
Kerala,1961,16904560
Kerala,1971,21347300
Kerala,1981,25453680
Kerala,1991,29098523
Kerala,2001,31839000
Kerala,2011,33387677
Jharkhand,1951,9697300
Jharkhand,1961,11606504
Jharkhand,1971,14227493
Jharkhand,1981,17612000
Jharkhand,1991,21844550
Jharkhand,2001,26946070
Jharkhand,2011,32988134
Assam,1951,8029100
Assam,1961,10837700
Assam,1971,14625157
Assam,1981,18041250
Assam,1991,22414320
Assam,2001,26638600
Assam,2011,31169272
Punjab,1951,9160990
Punjab,1961,11135404
Punjab,1971,13551069
Punjab,1981,16788920
Punjab,1991,20281971
Punjab,2001,24289130
Punjab,2011,27704236
Haryana,1951,5674400
Haryana,1961,7591190
Haryana,1971,10036430
Haryana,1981,12922122
Haryana,1991,16464600
Haryana,2001,21083900
Haryana,2011,25753081
Chhattisgarh,1951,7457700
Chhattisgarh,1961,9154330
Chhattisgarh,1971,11637800
Chhattisgarh,1981,14010110
Chhattisgarh,1991,17615600
Chhattisgarh,2001,20834530
Chhattisgarh,2011,25540196
Uttarakhand,1951,2946900
Uttarakhand,1961,3611200
Uttarakhand,1971,4493800
Uttarakhand,1981,5726550
Uttarakhand,1991,7051600
Uttarakhand,2001,8489100
Uttarakhand,2011,10116752
Himachal Pradesh,1951,2386940
Himachal Pradesh,1961,2812300
Himachal Pradesh,1971,3460434
Himachal Pradesh,1981,4280818
Himachal Pradesh,1991,5170877
Himachal Pradesh,2001,6077453
Himachal Pradesh,2011,6856509
Tripura,1951,639984
Tripura,1961,1142282
Tripura,1971,1556342
Tripura,1981,2053058
Tripura,1991,2757205
Tripura,2001,3191880
Tripura,2011,3671032
Meghalaya,1951,606300
Meghalaya,1961,769990
Meghalaya,1971,1011699
Meghalaya,1981,1335819
Meghalaya,1991,1774778
Meghalaya,2001,2306540
Meghalaya,2011,2964007
Manipur,1951,578060
Manipur,1961,780340
Manipur,1971,1073509
Manipur,1981,1421290
Manipur,1991,1837900
Manipur,2001,2294480
Manipur,2011,2721756
Nagaland,1951,213700
Nagaland,1961,369309
Nagaland,1971,516110
Nagaland,1981,775570
Nagaland,1991,1210492
Nagaland,2001,1990275
Nagaland,2011,1980602
Goa,1951,547000
Goa,1961,590875
Goa,1971,795997
Goa,1981,1008373
Goa,1991,1170115
Goa,2001,1348900
Goa,2011,1457723
Arunachal Pradesh,1961,337300
Arunachal Pradesh,1971,468885
Arunachal Pradesh,1981,632502
Arunachal Pradesh,1991,865900
Arunachal Pradesh,2001,1098328
Arunachal Pradesh,2011,1382611
Mizoram,1951,196970
Mizoram,1961,266200
Mizoram,1971,332190
Mizoram,1981,494440
Mizoram,1991,690963
Mizoram,2001,889690
Mizoram,2011,1091014
Sikkim,1951,138093
Sikkim,1961,162863
Sikkim,1971,210205
Sikkim,1981,316840
Sikkim,1991,406000
Sikkim,2001,541902
Sikkim,2011,607688
Jammu and Kashmir,1951,3254650
Jammu and Kashmir,1961,3561100
Jammu and Kashmir,1971,4616632
Jammu and Kashmir,1981,5987389
Jammu and Kashmir,1991,7718700
Jammu and Kashmir,2001,10070300
Jammu and Kashmir,2011,12548926
Delhi,1951,1744500
Delhi,1961,2659990
Delhi,1971,4066400
Delhi,1981,6220973
Delhi,1991,9421311
Delhi,2001,13851503
Delhi,2011,16753235
Puducherry,1951,317407
Puducherry,1961,369355
Puducherry,1971,472836
Puducherry,1981,604281
Puducherry,1991,808117
Puducherry,2001,974820
Puducherry,2011,1244464
Chandigarh,1951,24948
Chandigarh,1961,120480
Chandigarh,1971,257100
Chandigarh,1981,452960
Chandigarh,1991,642374
Chandigarh,2001,901080
Chandigarh,2011,1054686
Andaman and Nicobar Islands,1951,31480
Andaman and Nicobar Islands,1961,64160
Andaman and Nicobar Islands,1971,115874
Andaman and Nicobar Islands,1981,189496
Andaman and Nicobar Islands,1991,281990
Andaman and Nicobar Islands,2001,356650
Andaman and Nicobar Islands,2011,379944
Dadra and Nagar Haveli,1951,42846
Dadra and Nagar Haveli,1961,58020
Dadra and Nagar Haveli,1971,74880
Dadra and Nagar Haveli,1981,104300
Dadra and Nagar Haveli,1991,138290
Dadra and Nagar Haveli,2001,220963
Dadra and Nagar Haveli,2011,342853
Daman and Diu,1951,49482
Daman and Diu,1961,37587
Daman and Diu,1971,63000
Daman and Diu,1981,79842
Daman and Diu,1991,102110
Daman and Diu,2001,158080
Daman and Diu,2011,242911
Lakshadweep,1951,21000
Lakshadweep,1961,24370
Lakshadweep,1971,32900
Lakshadweep,1981,40250
Lakshadweep,1991,52820
Lakshadweep,2001,61300
Lakshadweep,2011,64429
